group 1,group 2,Cultural Hole
1,1,0.0
1,2,0.43997693094279045
1,3,0.4391525280547769
2,1,0.45949705558676546
2,2,0.0
2,3,0.46796220800151156
3,1,0.49503324914170643
3,2,0.5132289994885642
3,3,0.0
